"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","Create Booking",""
"skipped","Tue Feb 27 14:42:40 IST 2024","Tue Feb 27 14:42:40 IST 2024","0","firefox","e2e.spec.js","","","","check the product available or not",""
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","1","webkit","APITests.spec.js","","","","getBookingIds by all IDs",""
"broken","Tue Feb 27 14:42:06 IST 2024","Tue Feb 27 14:42:49 IST 2024","42944","webkit","e2e.spec.js","","","","count the number of products",""
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","1","webkit","APITests.spec.js","","","","getBooking by ID",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","0","chromium","APITests.spec.js","","","","getBookingIds by all IDs",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","Partial Update Booking",""
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","1","webkit","APITests.spec.js","","","","Update Booking",""
"skipped","Tue Apr 23 14:26:40 IST 2024","Tue Apr 23 14:26:40 IST 2024","2","chromium","e2e.spec.js","","","","Add the product into the cart and assert if it is added or not",""
"skipped","Tue Apr 23 14:26:40 IST 2024","Tue Apr 23 14:26:40 IST 2024","1","chromium","e2e.spec.js","","","","check the product available or not",""
"skipped","Tue Feb 27 14:42:49 IST 2024","Tue Feb 27 14:42:49 IST 2024","2","webkit","e2e.spec.js","","","","Add to products into the cart",""
"skipped","Tue Feb 27 14:42:40 IST 2024","Tue Feb 27 14:42:40 IST 2024","1","firefox","e2e.spec.js","","","","Check the first and last product before applying filter and after applying the filter",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","1","chromium","APITests.spec.js","","","","Delete Booking",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","1","chromium","APITests.spec.js","","","","getBookingIds by filter name",""
"skipped","Tue Feb 27 14:41:25 IST 2024","Tue Feb 27 14:41:25 IST 2024","1","chromium","APITests.spec.js","","","","getBookingIds by checkin checkout",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","getBooking by ID",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","getBookingIds by checkin checkout",""
"skipped","Tue Feb 27 14:41:23 IST 2024","Tue Feb 27 14:41:23 IST 2024","1","firefox","APITests.spec.js","","","","getBookingIds by filter name",""
"skipped","Tue Feb 27 14:41:37 IST 2024","Tue Feb 27 14:41:37 IST 2024","1","webkit","APITests.spec.js","","","","getBookingIds by filter name",""
